No|Year|H|VT|Dmax|VF|R|Rf|Mine
1|1973|43|0.5|25|0.17|7.31|2.49|
2|2000|15|15|5.2|1.8|27|3.24|
3|1978|25|1.7|0.3|0.0211|0.5275|0.01|
4|1974|20|13|45|3|60|13.85|
5|1981|25|27|1.3|3.5|87.5|11.34|
6|1965|20|0.45|0.8|0.07|1.4|0.22|
7|1985|6|0.038|0.8|0.011|0.066|0.02|
8|1965|20|0.5|5|0.085|1.7|0.29|
9|1985|40|2|8|0.5|20|5|
10|1979|11|0.37|110|0.37|4.07|4.07|UNC Churchrock, NM, USA
11|1971|15|12.34|120|9|135|98.46|Cities Service, FL, USA
12|1974|18|0.3|0.03|0.038|0.684|0.09|
13|1965|19|0.35|12|0.35|6.65|6.65|
14|1965|35|4.25|12|1.9|66.5|29.73|
15|2015|90|55|637|32|2880|1675.64|Samarco Fundão-Santarém, MG, BRA
16|1974|9|NA|0.61|0.0038|0.0342|NA|
17|1966|11|7|0.3|0.085|0.935|0.01|
18|1968|12|0.3|0.15|0.09|1.08|0.32|
19|2014|40|74|7|23.6|944|301.06|Polley, BC, CAN
20|1986|30|NA|12|0.1|3|NA|
21|1965|15|NA|5|0.035|0.525|NA|
22|1998|27|15|41|6.8|183.6|83.23|
23|1965|15|0.043|5|0.021|0.315|0.15|
24|1994|31|7.04|4|0.6|18.6|1.59|
25|1978|28|0.48|8|0.08|2.24|0.37|
26|1978|19|NA|0.15|0.003|0.057|NA|
27|1985|5|0.12|1.5|0.025|0.125|0.03|
28|1995|44|5.25|80|4.2|184.8|147.84|
29|1985|29.5|0.3|8|0.2|5.9|3.93|
30|1996|45|1.52|6|0.22|9.9|1.43|
31|1989|9|0.074|0.1|0.038|0.342|0.18|
32|2008|50.7|0.29|2.5|0.19|9.633|6.31|
33|1994|24|NA|0.18|NA|NA|NA|
34|1980|66|2.5|8|2|132|105.6|
35|1985|24|0.7|5|0.28|6.72|2.69|
